sex,race,year0,ex,se_ex
2,5,14,57.019295,.037065011
2,5,14,21.350246,.034565236
2,5,15,81.272408,.037967212
2,5,15,57.305962,.036542453
2,5,15,21.679874,.034003451
2,5,16,81.211197,.037396453
2,5,16,57.284195,.035909805
2,5,16,21.718761,.033387098
2,5,17,81.064438,.036919981
2,5,17,57.17284,.035363361
2,5,17,21.794867,.032652028
2,5,18,81.069519,.03608527
2,5,18,57.176643,.034490619
2,5,18,21.811092,.031716395
2,5,19,81.04789,.03542769
2,5,19,57.122803,.033818185
2,5,19,21.799679,.030971592
